provider,dataProvider,title,collection,description,creator,publisher,contributor,type,identifier,language,temporal,spatial,subject,date,extent,format,standardizedRights,relation,isShownAt,preview,count
Digital Maine,Long Lake Public Library,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1
Digital Maine,Rangeley Outdoor Sporting Heritage Museum,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1
Empire State Digital Network,New City Library,1.0,1.0,1.0,0.13447432762836187,0.7310513447432763,0.08312958435207823,1.0,0.9779951100244498,0.07823960880195599,0.0,0.9951100244498777,1.0,0.1198044009779951,0.9437652811735942,1.0,0.0,0.921760391198044,1.0,1.0,409
Illinois Digital Heritage Hub,Algonquin Area Public Library District,1.0,1.0,1.0,0.043478260869565216,0.0,0.0,0.6739130434782609,0.0,0.06521739130434782,0.6086956521739131,1.0,1.0,0.5,0.0,0.5217391304347826,0.0,0.0,1.0,1.0,46
Illinois Digital Heritage Hub,Mount Olive Public Library,1.0,1.0,1.0,0.09523809523809523,0.0,0.0,1.0,0.0,0.47619047619047616,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,21
Indiana Memory,Sports Car Club of America,1.0,1.0,0.9954954954954955,0.36164736164736166,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.3359073359073359,0.0,1.0,0.0,0.0,1.0,1.0,1554
Minnesota Digital Library,Oslo: Jarle Rosseland,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1
Minnesota Digital Library,Roseau County Historical Society,1.0,1.0,1.0,0.5538461538461539,0.0,0.5692307692307692,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,65
Minnesota Digital Library,Soudan Underground Mine State Park,1.0,1.0,1.0,0.5151515151515151,0.0,0.3484848484848485,1.0,0.0,0.5151515151515151,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,66
Minnesota Digital Library,Three Links Care Center,1.0,1.0,1.0,0.7916666666666666,0.0,0.9166666666666666,1.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0,0.875,0.0,0.041666666666666664,1.0,1.0,24
Minnesota Digital Library,Wyoming Historical Society,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,10
Missouri Hub,St. Louis Post-Dispatch; KSNT.com through Missouri Digital Heritage,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1
Mountain West Digital Library,Green River (UT) Public Library,1.0,1.0,1.0,0.5,0.0,0.0,1.0,1.0,0.5,0.0,0.0,1.0,0.875,0.0,0.0,0.0,0.125,1.0,1.0,8
The Portal to Texas History,Archives of the Central Texas Conference United Methodist Church,1.0,1.0,1.0,0.26859504132231404,0.08264462809917356,0.049586776859504134,0.9834710743801653,1.0,0.41735537190082644,0.0,0.9958677685950413,1.0,0.30578512396694213,0.0,1.0,0.0,0.0,1.0,1.0,242
Biodiversity Heritage Library,"University of Washington Botanic Gardens, Elisabeth C. Miller Library",1.0,0.0,1.0,0.23562412342215988,0.8892005610098177,0.7741935483870968,1.0,1.0,1.0,0.0,1.0,1.0,0.8892005610098177,0.0,1.0,0.0,0.8892005610098177,1.0,1.0,713
Biodiversity Heritage Library,Wellcome Library (archive.org),1.0,0.10822510822510822,0.13203463203463203,0.948051948051948,0.9935064935064936,0.341991341991342,1.0,1.0,0.961038961038961,0.02813852813852814,0.3051948051948052,1.0,0.9783549783549783,0.0,1.0,0.0,0.13852813852813853,1.0,1.0,462
Digital Commonwealth,Woods Hole Oceanographic Institution,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,6
Digital Library of Georgia,Valdosta State University. Archives and Special Collections,1.0,1.0,0.9524470669906282,0.9965289829920166,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5762
Empire State Digital Network,Alfred University,1.0,1.0,1.0,0.706766917293233,0.9135338345864662,0.0,1.0,1.0,1.0,0.0,0.9887218045112782,1.0,0.5075187969924813,1.0,1.0,0.0,0.0,1.0,1.0,266
Empire State Digital Network,Hempstead Public Library,1.0,1.0,0.9952,0.0656,0.9328,0.0,0.928,0.8656,0.0,0.0,0.0624,0.9504,0.976,0.0,0.928,0.0,0.1344,1.0,1.0,625
Indiana Memory,Indiana University-Bloomington,1.0,1.0,1.0,0.5294117647058824,0.7058823529411765,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,34
Indiana Memory,Madison- Jefferson County Public Library,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1
Mountain West Digital Library,"Topaz Museum (Delta, UT)",1.0,1.0,0.9400921658986175,0.02304147465437788,0.0,0.0,1.0,1.0,1.0,0.0,0.12903225806451613,0.9907834101382489,1.0,0.0,0.0,0.0,0.9953917050691244,1.0,1.0,217
National Archives and Records Administration,National Archives at College Park - CartographicNational Archives at College Park - Cartographic,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9017857142857143,1.0,0.0,1.0,1.0,1.0,672
Recollection Wisconsin,Neville Public Museum of Brown County,1.0,0.8001359619306594,0.0,0.0,0.0,0.9932019034670292,1.0,0.0,0.7199184228416043,0.0,0.9612508497620667,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1471
The New York Public Library,"The Miriam and Ira D. Wallach Division of Art, Prints and Photographs: Photography Collection. The New York Public Library",1.0,1.0,0.3871376988386845,0.5927669887121434,0.22094271494095832,0.19342246511174002,0.9976659835398979,0.0,0.007067109072574087,0.014825477375492014,0.7709166910640513,0.8533798510133047,0.6032578640903028,0.18422465111740022,0.9958036498487363,0.9976903809244982,1.0,1.0,1.0,122964
Biodiversity Heritage Library,Cambridge University Library,1.0,0.026515151515151516,0.5909090909090909,0.9962121212121212,1.0,0.13636363636363635,1.0,1.0,1.0,0.0,0.041666666666666664,0.041666666666666664,0.9545454545454546,0.0,1.0,0.0,0.9204545454545454,1.0,1.0,264
